pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Launch fts,Rad,launch_speed_x,launch_speed_y,28.7
SI,2022-09-18,92.3,-2.36,5.06,"Judge, Aaron",592450,669920,home_run,hit_into_play,,,,,6,Aaron Judge homers (58) on a fly ball to right center field.,R,R,R,MIL,NYY,X,,fly_ball,2,0,2022,-1.45,0.03,0.45,2.72,,,,1,3,Top,209.13,53.1,,,553882,,,10.27929311,-134.0124425,-0.1782214503,-19.72813727,28.92778704,-31.97329285,3.99,1.92,414,111.6,35,92.1,2117,6.3,661162,669920,553882,669374,543939,649966,642715,592885,621438,592669,54.23,0.837,1.744,2,1,0,3,6,20,3,Sinker,4,1,1,4,2,4,2,4,Infield shift,Standard,259,-0.08,0.933,163.68,0.6108652382,134.0788066,93.8829911,56.8
SL,2022-05-10,84.1,-1.76,6.15,"Judge, Aaron",592450,605447,home_run,hit_into_play,,,,,2,Aaron Judge homers (10) on a fly ball to left center field.   Jose Trevino scores.    DJ LeMahieu scores.,R,R,R,NYY,TOR,X,,fly_ball,1,2,2022,0.43,-0.15,-0.19,3.52,,624431,518934,1,9,Bot,50.45,32.41,,,641470,,,2.840420511,-122.5121141,0.5978925209,3.770062357,24.08039484,-34.03805219,3.98,1.86,414,112.5,31,85.7,2160,7.2,661301,605447,641470,665489,669289,656305,666182,606192,605548,543807,53.25,0.951,1.975,2,1,0,3,6,76,6,Slider,3,5,3,5,5,6,6,5,Infield shift,Strategic,44,0.807,2.476,165,0.5410520681,141.4326046,84.98128236,43
SI,2022-04-13,91.9,-3.18,5.21,"Judge, Aaron",592450,621244,home_run,hit_into_play,,,,,11,Aaron Judge homers (1) on a fly ball to left center field.,R,R,R,NYY,TOR,X,,fly_ball,0,0,2022,-1.37,0.95,-0.92,2.91,,,,1,5,Bot,52.63,48.37,,,672386,,,8.739391165,-133.4945825,-1.986450892,-18.26430106,30.64617984,-20.58192526,3.76,1.75,413,108.4,27,92.2,2194,6.7,661313,621244,672386,665489,669289,656305,666182,606132,543807,606192,53.79,0.98,2.02,2,1,0,3,6,39,1,Sinker,1,3,1,3,3,2,2,3,Infield shift,Standard,223,0.127,1,158.9866667,0.471238898,141.6581573,72.17843625,35.6
SL,2022-08-10,80.1,-4.11,3.94,"Judge, Aaron",592450,682171,home_run,hit_into_play,,,,,8,Aaron Judge homers (45) on a fly ball to left field.,R,R,R,SEA,NYY,X,,fly_ball,0,0,2022,1.29,-0.08,-0.14,2.28,,,,2,7,Top,39.57,55.59,,,620443,,,6.35026913,-116.4997005,3.183720403,10.51822433,21.8224396,-33.72671786,3.99,1.9,412,105.2,32,80,2732,6.2,662185,682171,620443,664034,624428,553993,664238,664059,672284,571745,54.26,0.766,1.568,2,1,0,3,6,48,1,Slider,1,2,2,1,3,1,3,1,Infield shift,Standard,73,-0.141,1,154.2933333,0.5585053606,130.8481676,81.76300968,26.6
FF,2022-05-17,91.6,-1.57,6.41,"Judge, Aaron",592450,657093,home_run,hit_into_play,,,,,8,Aaron Judge homers (13) on a fly ball to center field.,R,R,R,BAL,NYY,X,,fly_ball,2,2,2022,-0.44,1.43,0.07,2.25,,,,1,3,Top,167.84,38.29,,,621532,,,5.067315958,-133.2739778,-7.778763347,-6.220211806,25.47644756,-13.62806838,3.98,1.87,410,105.5,29,91.9,2257,6.2,661342,657093,621532,641820,596059,663527,602104,669720,656775,663630,54.27,0.894,1.843,2,1,0,3,6,19,5,4-Seam Fastball,1,1,1,1,2,1,2,1,Infield shift,Strategic,196,-0.121,1.021,154.7333333,0.5061454831,135.3328227,75.01620857,57.9
SI,2022-07-21,93.6,-1.86,6.21,"Judge, Aaron",592450,656232,home_run,hit_into_play,,,,,5,Aaron Judge homers (34) on a fly ball to left field.   Isiah Kiner-Falefa scores.    DJ LeMahieu scores.,R,R,R,HOU,NYY,X,,fly_ball,2,1,2022,-1.23,1.24,-0.19,2.92,643396,518934,,1,9,Top,11.55,77,,,455117,,,6.904760696,-135.9511211,-5.324608815,-16.82613531,32.98047244,-15.81344569,3.95,1.87,410,111,33,91.7,2096,5.5,662775,656232,455117,656695,514888,608324,665161,676801,676694,663656,55.02,0.894,1.866,2,1,0,3,6,73,4,Sinker,7,2,2,7,5,7,5,7,Infield shift,Standard,222,-0.015,1.875,162.8,0.5759586532,136.5355685,88.6672349,6.4
CU,2022-06-22,75.2,1.41,6.35,"Judge, Aaron",592450,621363,home_run,hit_into_play,,,,,11,Aaron Judge homers (27) on a fly ball to left field.,R,R,L,TB,NYY,X,,fly_ball,1,2,2022,-1.29,-1.03,-0.1,4.11,,,,0,7,Top,27.16,66.62,,,642336,,,-0.857393106,-109.3407599,4.571015755,-10.05275306,22.27496066,-41.55403104,3.92,1.81,406,109,41,76.2,2503,7.4,661889,621363,642336,596847,670623,650490,670764,668227,666139,660644,53.08,0.454,0.927,2,1,0,3,6,56,4,Curveball,4,2,2,4,3,4,3,4,Standard,Standard,324,-0.124,1.063,159.8666667,0.7155849933,120.6529049,104.8819701,16.6
SL,2022-06-02,86.1,-2.63,5.6,"Judge, Aaron",592450,660271,home_run,hit_into_play,,,,,2,Aaron Judge homers (19) on a line drive to left center field.,R,R,R,NYY,LAA,X,,line_drive,1,2,2022,1.15,0.17,-0.21,3.67,,,,0,3,Bot,49.43,53.88,,,545358,,,3.459477521,-125.3746257,1.29815031,11.4132709,24.8062505,-30.85179686,3.88,1.81,405,109.9,21,86.8,2512,6.6,661330,660271,545358,665120,650859,622110,623205,501571,545361,621493,53.85,0.911,1.614,2,1,0,3,6,25,5,Slider,2,0,2,0,0,3,3,0,Infield shift,Standard,63,0.076,1.063,161.1866667,0.3665191429,150.480717,57.76413523,31.9
SL,2022-05-23,79.6,-1.31,5.91,"Judge, Aaron",592450,543475,home_run,hit_into_play,,,,,8,Aaron Judge homers (17) on a fly ball to left field.   Anthony Rizzo scores.,R,R,R,NYY,BAL,X,,fly_ball,2,2,2022,1.44,0.03,-0.06,2.15,,,519203,1,5,Bot,34.81,61.86,,,455139,,,0.03751769317,-115.8856982,-1.53880282,12.87693896,22.94977101,-31.82147267,3.97,1.85,405,103.1,32,80.1,2760,6.7,661287,543475,455139,663624,596059,602104,572008,669720,656775,641820,53.77,0.609,1.208,2,1,0,3,6,42,5,Slider,2,4,2,4,4,4,4,4,Infield shift,Standard,45,0.254,1.748,151.2133333,0.5585053606,128.2361794,80.13085834,22
SL,2022-09-05,87.9,-1.48,6.4,"Judge, Aaron",592450,656730,home_run,hit_into_play,,,,,5,Aaron Judge homers (54) on a fly ball to left field.   Gleyber Torres scores.,R,R,R,NYY,MIN,X,,fly_ball,3,1,2022,0.68,-0.44,0,2.86,,,650402,0,6,Bot,15.28,77.03,,,596142,,,2.177899941,-128.0654383,-1.594134407,7.087745126,25.53230601,-36.90774226,3.99,1.9,404,109.6,34,88.6,2748,6.5,661236,656730,596142,669304,624503,570482,621043,595909,665482,664247,53.95,0.84,1.75,2,1,0,3,6,46,5,Slider,2,2,2,2,2,4,4,2,Infield shift,Strategic,34,0.227,1.333,160.7466667,0.5934119457,133.2650263,89.88839526,8.4
SL,2022-07-16,85.6,-2.38,6.18,"Judge, Aaron",592450,601713,home_run,hit_into_play,,,,,8,Aaron Judge homers (32) on a fly ball to left center field.,R,R,R,NYY,BOS,X,,fly_ball,3,2,2022,0.6,0.17,0.08,1.98,,,,0,5,Bot,44.08,58.27,,,543877,,,4.630624178,-124.648217,-4.037408451,5.386135511,24.21494733,-29.76799326,3.92,1.89,401,102.6,26,86.1,2387,6.5,661259,601713,543877,614173,669023,646240,593428,657077,598265,680776,54.03,0.766,1.434,2,1,0,3,6,37,6,Slider,4,1,4,1,1,5,5,1,Standard,Standard,117,0.045,0.923,150.48,0.4537856055,135.2505281,65.96609017,27.8
FF,2022-04-22,91,-0.43,5.76,"Judge, Aaron",592450,669212,home_run,hit_into_play,,,,,6,Aaron Judge homers (2) on a fly ball to center field.   DJ LeMahieu scores.,R,R,R,NYY,CLE,X,,fly_ball,3,1,2022,-1.08,1.43,0.37,2.57,,,518934,2,3,Bot,161.28,28.05,,,681526,,,4.341943548,-132.3647464,-5.151888376,-13.63720342,29.2265887,-14.46790779,3.93,1.83,397,112,34,90.9,2242,6.4,661311,669212,681526,656252,665926,608070,642708,680757,664702,647304,54.15,0.863,1.798,2,1,0,3,6,22,5,4-Seam Fastball,0,0,0,0,0,2,2,0,Standard,Standard,220,0.22,1.793,164.2666667,0.5934119457,136.1832386,91.85675428,55.4
SL,2022-06-22,86.2,-1.6,5.94,"Judge, Aaron",592450,669358,home_run,hit_into_play,,,,,5,Aaron Judge homers (26) on a fly ball to left field.,R,R,R,TB,NYY,X,,fly_ball,0,0,2022,0.23,0.43,-0.19,2.77,,,,0,4,Top,40.74,62.79,,,642336,,,2.876723418,-125.5849333,-2.200392743,1.874654236,25.62233893,-27.35135726,3.92,1.81,396,99.9,34,86.4,2457,6.4,661889,669358,642336,596847,670623,650490,670764,668227,666139,660644,54.11,0.377,0.749,2,1,0,3,5,25,1,Slider,3,0,0,3,1,3,1,3,Standard,Standard,193,-0.086,1,146.52,0.5934119457,121.4705851,81.93294422,24.7
SI,2022-05-01,98,-0.8,6.28,"Judge, Aaron",592450,622251,home_run,hit_into_play,,,,,8,Aaron Judge homers (8) on a fly ball to right center field.,R,R,R,KC,NYY,X,,fly_ball,2,0,2022,-0.61,1.45,-0.05,2.47,,,,2,9,Top,203.11,58.84,,,521692,,,3.484685416,-142.5007065,-8.252737036,-9.116338649,31.02603875,-10.6811221,4,1.86,395,106.8,35,99.2,2218,6.9,662691,622251,521692,467793,593160,656896,670032,643217,572191,641531,53.62,0.711,1.462,2,1,0,3,6,73,3,Sinker,4,5,5,4,6,4,6,4,Standard,Standard,188,-0.102,0.962,156.64,0.6108652382,128.3119762,89.84501299,55.4
SI,2022-09-28,94.5,1.78,6.46,"Judge, Aaron",592450,641835,home_run,hit_into_play,,,,,5,Aaron Judge homers (61) on a fly ball to left field.   Aaron Hicks scores.,R,R,L,TOR,NYY,X,,fly_ball,3,2,2022,1.42,0.93,0.23,2.79,,,543305,0,7,Top,52.2,64.43,,,643376,,,-7.215790691,-137.3051534,-5.896827842,19.62244148,31.79876689,-19.31560281,3.99,1.9,394,117.4,22,94.1,2078,6.3,661737,641835,643376,665489,593160,656305,666182,606132,598265,606192,54.25,0.929,1.715,2,1,0,3,6,50,8,Sinker,3,3,3,3,5,3,5,3,Infield shift,Strategic,135,-0.265,1.46,172.1866667,0.3839724354,159.6486973,64.50226063,29.3
CH,2022-09-03,90.3,-1.43,6.18,"Judge, Aaron",592450,592094,home_run,hit_into_play,,,,,6,Aaron Judge homers (52) on a fly ball to right center field.,R,R,R,TB,NYY,X,,fly_ball,1,0,2022,-1.07,0.07,0.42,2.56,,,,0,9,Top,181.2,50.49,,,642336,,,6.895952347,-131.3268406,-3.19466705,-13.86904861,28.00635527,-30.83493634,3.95,1.89,392,103.5,26,90.4,2248,6.4,661854,592094,642336,670623,644374,650490,670764,444482,642350,622534,54.12,0.829,1.599,2,1,0,3,6,59,2,Changeup,2,0,0,2,1,2,1,2,Infield shift,Standard,236,-0.087,0.967,151.8,0.4537856055,136.4369362,66.54474008,55.8
CU,2022-04-26,72.4,2.93,6.43,"Judge, Aaron",592450,649144,home_run,hit_into_play,,,,,4,Aaron Judge homers (4) on a fly ball to left field.,R,R,L,NYY,BAL,X,,fly_ball,0,1,2022,-1,-0.85,-0.63,2.98,,,,2,8,Bot,40.98,64.54,,,455139,,,-5.269913193,-105.2369564,2.009649963,-6.346570112,20.27716526,-39.09047008,3.97,1.87,392,98.5,34,70.5,2532,5.1,661309,649144,455139,663624,596059,602104,622761,669720,656775,623993,55.37,0.303,0.593,2,1,0,3,5,72,2,Curveball,10,8,10,8,8,11,11,8,Standard,Standard,323,0.038,1.017,144.4666667,0.5934119457,119.7682946,80.78473479,24.3
SL,2022-10-04,88.4,-1.71,5.69,"Judge, Aaron",592450,622786,home_run,hit_into_play,,,,,5,Aaron Judge homers (62) on a fly ball to left field.,R,R,R,TEX,NYY,X,,fly_ball,1,1,2022,-0.29,0.5,-0.03,2.76,,,,0,1,Top,38.02,66.8,,,669087,,,4.637403202,-128.744305,-2.100543479,-4.150891197,25.94682455,-26.40947323,3.99,1.91,391,100.2,35,87.8,2233,5.8,662010,622786,669087,663993,543760,673962,669701,669352,665750,594777,54.69,0.331,0.647,2,1,0,3,5,1,3,Slider,0,0,0,0,1,0,1,0,Standard,Standard,129,-0.101,1.009,146.96,0.6108652382,120.3825844,84.29279309,22.2
FF,2022-04-29,98.2,-2.05,6.02,"Judge, Aaron",592450,669395,home_run,hit_into_play,,,,,6,Aaron Judge homers (6) on a fly ball to right center field.    Kyle Higashioka scores.    DJ LeMahieu scores.,R,R,R,KC,NYY,X,,fly_ball,0,1,2022,-0.43,1.22,0.53,2.73,,543309,518934,2,7,Top,198.31,59.22,,,521692,,,8.060962365,-142.7163294,-6.35915706,-7.68743698,31.32706101,-14.1405986,4.01,1.86,389,105.4,34,99.3,2480,6.8,662741,669395,521692,467793,593160,677951,670032,643217,572191,658668,53.66,0.697,1.434,2,1,0,3,6,54,2,4-Seam Fastball,2,4,4,2,7,2,7,2,Standard,Standard,214,-0.148,2.714,154.5866667,0.5934119457,128.1581549,86.44376697,55
SL,2022-09-13,86.5,-1.84,5.34,"Judge, Aaron",592450,676477,home_run,hit_into_play,,,,,5,Aaron Judge homers (57) on a fly ball to left field.,R,R,R,BOS,NYY,X,,fly_ball,1,1,2022,0.08,0.21,0.14,2.71,,,,0,8,Top,35.71,69.57,,,624512,,,4.606183226,-125.8599248,-0.4094995709,-0.2089622338,28.96293289,-30.13007184,4,1.89,389,100.5,35,87.1,1914,7,663160,676477,624512,671213,624414,646240,593428,502054,571771,657077,53.52,0.409,0.816,2,1,0,3,5,57,3,Slider,4,3,3,4,4,4,4,4,Standard,Standard,118,-0.253,1.009,147.4,0.6108652382,120.7430113,84.54516672,20.4
KC,2022-09-13,76.4,-1.49,6.54,"Judge, Aaron",592450,601713,home_run,hit_into_play,,,,,6,Aaron Judge homers (56) on a fly ball to right center field.,R,R,R,BOS,NYY,X,,fly_ball,0,0,2022,0.66,-1.51,0.31,3.06,,,,0,6,Top,184.66,55.55,,,624512,,,2.606846604,-111.0959364,2.538372411,4.933565871,22.12162461,-45.34672216,4,1.89,383,109.7,24,76.5,2760,6.6,663160,601713,624512,671213,624414,646240,593428,502054,571771,657077,53.86,0.986,1.992,2,1,0,3,6,38,1,Knuckle Curve,3,2,2,3,3,3,3,3,Infield shift,Standard,27,-0.167,1,160.8933333,0.4188790205,146.9833738,65.44121429,54.9
FF,2022-08-22,95.7,-3.26,5.52,"Judge, Aaron",592450,453286,home_run,hit_into_play,,,,,9,Aaron Judge homers (47) on a fly ball to right field.,R,R,R,NYY,NYM,X,,fly_ball,1,1,2022,-0.93,1.15,0.32,2.13,,,,2,3,Bot,207.24,66.48,,,543510,,,11.48415231,-138.8332415,-5.866194373,-14.59338526,30.39505087,-16.14856661,3.95,1.85,383,109.6,26,95.3,2371,6.2,661238,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.31,0.986,2.014,2,1,0,3,6,20,3,4-Seam Fastball,1,0,1,0,0,2,2,0,Standard,Standard,225,0.108,1.006,160.7466667,0.4537856055,144.478147,70.46670061,54.2
FF,2022-06-11,89.7,-1.37,6.71,"Judge, Aaron",592450,664161,home_run,hit_into_play,,,,,1,Aaron Judge homers (23) on a fly ball to left field.,R,R,R,NYY,CHC,X,,fly_ball,1,0,2022,-0.25,1.54,-0.39,3.3,,,,0,1,Bot,30.64,76.29,,,543228,,,2.945695882,-130.5733657,-5.686573676,-3.440051125,27.22854435,-13.56963207,3.96,1.83,383,107.3,41,89.6,1999,6.2,661276,664161,543228,643524,592743,621550,663538,664023,666624,518792,54.32,0.386,0.782,2,1,0,3,6,5,2,4-Seam Fastball,0,0,0,0,0,1,1,0,Standard,Standard,199,0.102,0.967,157.3733333,0.7155849933,118.7711623,103.2461963,16.4
FF,2022-08-30,95.4,-1.83,5.6,"Judge, Aaron",592450,594577,home_run,hit_into_play,,,,,2,Aaron Judge homers (51) on a fly ball to right center field.    DJ LeMahieu scores.    Andrew Benintendi scores.,R,R,R,LAA,NYY,X,,fly_ball,1,2,2022,-1.07,1.19,0.26,3.81,,518934,643217,2,4,Top,182.7,57.29,,,545358,,,7.876828144,-138.5972692,-1.689226525,-15.65340461,34.1831968,-16.71009241,3.94,1.86,378,107.5,36,94.7,2325,6.2,663437,594577,545358,645801,664058,650859,623205,642423,545361,621493,54.32,0.697,1.432,2,1,0,3,6,32,4,4-Seam Fastball,2,4,4,2,7,2,7,2,Infield shift,Standard,225,-0.185,2.779,157.6666667,0.6283185307,127.5550128,92.67414144,54.4
FF,2022-06-04,95.3,-1.13,6.1,"Judge, Aaron",592450,689225,home_run,hit_into_play,,,,,6,Aaron Judge homers (21) on a fly ball to right center field.,R,R,R,NYY,DET,X,,fly_ball,0,0,2022,-0.6,1.5,0.38,3.21,,,,0,1,Bot,189.91,60.14,,,571466,,,5.271032493,-138.6254706,-5.281718203,-8.922792281,30.48758717,-11.82824081,3.93,1.84,378,106.4,31,94.5,2364,5.8,661278,689225,571466,605612,570731,600869,595879,665019,656537,650489,54.71,0.851,1.773,2,1,0,3,6,4,1,4-Seam Fastball,0,0,0,0,0,1,1,0,Infield shift,Standard,211,0.102,1,156.0533333,0.5410520681,133.7638145,80.37340838,54.3
FF,2022-06-03,94.4,-2.48,5.91,"Judge, Aaron",592450,660730,home_run,hit_into_play,,,,,3,Aaron Judge homers (20) on a fly ball to right field.,R,R,R,NYY,DET,X,,fly_ball,2,1,2022,-0.74,1.43,0.63,3.4,,,,2,3,Bot,208.53,70.06,,,571466,,,9.761031784,-137.1107441,-4.046913007,-11.4998605,30.02590897,-13.36743298,3.93,1.84,378,104.2,34,94.7,2427,6.5,661318,660730,571466,679529,570731,600869,595879,605612,650489,663662,53.98,0.629,1.274,2,1,0,3,6,20,4,4-Seam Fastball,1,0,1,0,0,2,2,0,Infield shift,Standard,212,0.108,0.985,152.8266667,0.5934119457,126.6990488,85.45958746,53.6
CH,2022-09-07,85.3,-1.83,5.09,"Judge, Aaron",592450,686973,home_run,hit_into_play,,,,,5,Aaron Judge homers (55) on a fly ball to left field.,R,R,R,NYY,MIN,X,,fly_ball,2,1,2022,-1.29,0.81,0.24,2.7,,,,0,4,Bot,46.6,70.18,,,596142,,,7.542553763,-124.0386097,-0.9810265799,-14.82753799,23.56946802,-23.75425287,4,1.89,374,102.1,28,86.4,1607,6.9,661251,686973,596142,650333,624503,669304,621043,595909,665482,664247,53.58,0.694,1.332,2,1,0,3,6,30,4,Changeup,0,3,0,3,3,1,1,3,Infield shift,Standard,222,0.097,0.96,149.7466667,0.4886921906,132.2184589,70.30180162,25.2
CH,2022-07-29,85.9,-1.94,5.97,"Judge, Aaron",592450,663804,home_run,hit_into_play,,,,,4,Aaron Judge hits a grand slam (41) to right center field.   Aaron Hicks scores.    Isiah Kiner-Falefa scores.    DJ LeMahieu scores.,R,R,R,NYY,KC,X,,fly_ball,0,0,2022,-1.45,0.48,-0.34,3.13,543305,643396,518934,2,8,Bot,195.28,66.24,,,669004,,,6.706910441,-124.867707,-1.404378357,-16.50655215,26.23789446,-27.12442676,4,1.93,370,105.1,29,85.8,2600,6.4,661256,663804,669004,668472,593160,670032,672580,664728,572191,641531,54.1,0.86,1.778,2,1,0,3,6,70,1,Changeup,7,5,7,5,5,11,11,5,Infield shift,Standard,258,0.051,3.319,154.1466667,0.5061454831,134.8197125,74.73178693,53.4
FF,2022-07-30,95,-1.28,5.97,"Judge, Aaron",592450,669169,home_run,hit_into_play,,,,,9,Aaron Judge homers (42) on a line drive to right center field.    Jose Trevino scores.,R,R,R,NYY,KC,X,,line_drive,2,2,2022,-0.83,1.4,0.29,2.41,,,624431,2,2,Bot,195.2,66.37,,,521692,,,5.891696983,-138.1483381,-6.767533386,-11.85587283,29.13388018,-12.95804147,3.97,1.9,364,105.2,22,94.4,2382,5.9,661255,669169,521692,686469,593160,670032,672580,641531,572191,669004,54.62,0.789,1.269,2,1,0,3,6,19,7,4-Seam Fastball,2,0,2,0,0,4,4,0,Infield shift,Standard,211,0.135,1.911,154.2933333,0.3839724354,143.0582875,57.79929999,53.4
CU,2022-06-15,84,0.81,5.88,"Judge, Aaron",592450,663556,home_run,hit_into_play,,,,,4,Aaron Judge homers (25) on a fly ball to right center field.,R,R,L,NYY,TB,X,,fly_ball,3,2,2022,-0.92,-0.94,-0.38,3.25,,,,1,1,Bot,188.85,66.29,,,650907,,,-0.9450700386,-122.2424412,2.211472841,-8.982239047,24.94876282,-42.24434571,3.96,1.84,364,104.1,24,84.7,2661,6.8,661327,663556,650907,670623,660644,650490,670764,668227,595281,622534,53.67,0.823,1.487,2,1,0,3,6,6,7,Curveball,0,0,0,0,0,1,1,0,Standard,Standard,311,0.104,0.948,152.68,0.4188790205,139.4801205,62.10055066,53
FF,2022-04-22,92.3,2.59,5.77,"Judge, Aaron",592450,668684,home_run,hit_into_play,,,,,6,Aaron Judge homers (3) on a line drive to right field.,R,R,L,NYY,CLE,X,,line_drive,3,2,2022,0.65,0.89,0.64,3.11,,,,1,5,Bot,215.64,81.85,,,681526,,,-6.333798688,-134.3028841,-2.878806784,9.228858088,29.88419872,-20.95013534,3.93,1.83,364,112,19,91.7,1792,6,661311,668684,681526,656252,665926,608070,642708,680757,664702,647304,54.52,0.846,1.344,2,1,0,3,6,41,7,4-Seam Fastball,3,1,3,1,1,4,4,1,Strategic,Standard,159,0.077,0.948,164.2666667,0.3316125579,155.3171847,53.47999551,51.9
FF,2022-05-13,93.3,-1.25,5.7,"Judge, Aaron",592450,592826,home_run,hit_into_play,,,,,6,Aaron Judge homers (12) on a fly ball to right field.,R,R,R,CWS,NYY,X,,fly_ball,0,2,2022,-0.51,1.45,0.61,3.33,,,,2,4,Top,211.4,83.36,,,624512,,,5.927447051,-135.8333746,-3.556777345,-7.635359305,29.69160004,-13.6646218,4,1.87,355,103.8,31,93.6,2390,6.5,661491,592826,624512,547989,543281,660162,641313,572041,673357,544725,54.04,0.72,1.462,2,1,0,3,6,32,3,4-Seam Fastball,0,5,5,0,6,0,6,0,Infield shift,Standard,213,-0.032,1.04,152.24,0.5410520681,130.4951499,78.40939652,51.4
