pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Launch fts,Rad,launch_speed_x,launch_speed_y,28.7
FF,2022-07-14,94.9,-2.33,5.97,"Judge, Aaron",592450,656546,home_run,hit_into_play,,,,,5,Aaron Judge homers (31) on a fly ball to center field.,R,R,R,NYY,CIN,X,,fly_ball,2,1,2022,-0.58,1.51,0.18,2.75,,,,0,8,Bot,161.93,26.18,,,663886,,,7.944783122,-138.0066797,-6.229558835,-9.184703017,29.2355276,-11.58506715,3.94,1.92,435,112,23,95.9,2509,6.8,661261,656546,663886,458015,663697,592273,571657,502054,669222,656413,53.68,0.98,1.958,2,1,0,3,6,63,4,4-Seam Fastball,1,4,1,4,4,2,2,4,Standard,Standard,214,0.077,0.96,164.2666667,0.401425728,151.2082639,64.18410004,59.5
SL,2022-08-29,81.3,-1.34,5.7,"Judge, Aaron",592450,572193,home_run,hit_into_play,,,,,8,Aaron Judge homers (50) on a fly ball to center field.,R,R,R,LAA,NYY,X,,fly_ball,1,1,2022,0.44,-0.35,0.25,1.95,,,,1,8,Top,100.24,25.01,,,642136,,,2.718797346,-118.3669447,-1.109757504,3.577041547,23.26634486,-35.46577668,3.94,1.86,434,111.1,34,81.2,2292,6.3,663424,572193,642136,645801,664058,650859,623205,642423,545361,621493,54.24,0.851,1.772,2,1,0,3,6,58,3,Slider,4,2,2,4,3,4,3,4,Infield shift,Standard,66,-0.099,1.008,162.9466667,0.5934119457,135.088909,91.11861964,57
FF,2022-06-07,93,-1.89,5.49,"Judge, Aaron",592450,663485,home_run,hit_into_play,,,,,2,Aaron Judge homers (22) on a fly ball to center field.   DJ LeMahieu scores.,R,R,R,MIN,NYY,X,,fly_ball,2,2,2022,-0.65,1.08,-0.14,3.61,,,518934,0,1,Top,128.68,24.34,,,596142,,,5.774680241,-135.470081,-1.432647339,-9.209452367,28.06495473,-18.76614085,3.93,1.82,431,107.7,31,91.5,2111,5.2,661693,663485,596142,650333,593871,570482,650339,663616,665482,596146,55.3,0.923,1.929,2,1,0,3,6,2,6,4-Seam Fastball,0,0,0,0,2,0,2,0,Infield shift,Standard,232,-0.158,1.606,157.96,0.5410520681,135.3981468,81.35541431,41.7
FF,2022-07-28,95.4,-2.07,5.22,"Judge, Aaron",592450,605130,home_run,hit_into_play,,,,,5,Aaron Judge homers (39) on a fly ball to center field.,R,R,R,NYY,KC,X,,fly_ball,0,0,2022,-0.08,0.97,-0.01,2.59,,,,1,9,Bot,90.57,28.16,,,669004,,,5.676556469,-138.8342171,-3.52634406,-2.338443124,30.65892957,-19.00733343,4,1.93,431,109.6,35,96.7,2454,7,661257,605130,669004,668472,593160,670032,672580,664728,572191,641531,53.5,0.8,1.667,2,1,0,3,6,64,1,4-Seam Fastball,0,0,0,0,0,1,1,0,Infield shift,Standard,203,0.423,1,160.7466667,0.6108652382,131.6759606,92.20050022,54.5
FF,2022-06-11,90.7,-0.93,6.69,"Judge, Aaron",592450,664161,home_run,hit_into_play,,,,,8,Aaron Judge homers (24) on a line drive to left center field.,R,R,R,NYY,CHC,X,,line_drive,1,0,2022,-0.47,1.45,-0.14,2.2,,,,1,5,Bot,56.44,38.62,,,543228,,,2.964176939,-131.9640591,-8.417101053,-6.082196559,25.97940717,-13.6072157,3.96,1.83,431,115.5,18,90.6,2147,6.1,661276,664161,543228,643524,592743,621550,663538,664023,666624,518792,54.44,0.806,1.221,2,1,0,3,6,39,2,4-Seam Fastball,4,0,4,0,0,5,5,0,Infield shift,Standard,201,0.03,0.977,169.4,0.3141592654,161.1089739,52.34747885,41.7
SI,2022-05-22,97.2,-1.01,5.57,"Judge, Aaron",592450,608665,home_run,hit_into_play,,,,,11,Aaron Judge homers (15) on a fly ball to left field.,R,R,R,NYY,CWS,X,,fly_ball,0,2,2022,-1.41,0.82,-1.09,3.27,,,,1,8,Bot,12.05,65.06,,,518735,,,3.015366321,-141.5231996,-2.507861966,-19.70059903,32.2759843,-20.81619559,3.98,1.85,431,111.1,28,97.2,2111,6.3,661288,608665,518735,657757,543281,660162,544725,572041,673357,641553,54.23,0.991,2.051,2,1,0,3,6,60,3,Sinker,0,1,0,1,1,1,1,1,Infield shift,Standard,220,0.324,1.055,162.9466667,0.4886921906,143.8733671,76.49882625,7.9
SI,2022-09-20,95.3,-2.1,6.05,"Judge, Aaron",592450,640444,home_run,hit_into_play,,,,,7,Aaron Judge homers (60) on a fly ball to left center field.,R,R,R,NYY,PIT,X,,fly_ball,3,1,2022,-1.18,1.15,-0.3,2.3,,,,0,9,Bot,57.04,38.57,,,641511,,,7.402531484,-138.5810284,-6.826981742,-16.8134989,30.05457549,-16.0165883,3.99,1.93,430,111.6,24,95.9,2286,6.6,661229,640444,641511,656308,666801,663647,665833,656185,668804,669261,53.89,0.983,1.982,2,1,0,3,6,81,5,Sinker,4,8,4,8,8,5,5,8,Infield shift,Standard,202,0.022,0.846,163.68,0.4188790205,149.5291205,66.57465374,42
FF,2022-08-12,93,-2.42,5.35,"Judge, Aaron",592450,543135,home_run,hit_into_play,,,,,1,Aaron Judge homers (46) on a fly ball to left center field.,R,R,R,BOS,NYY,X,,fly_ball,1,0,2022,-1.28,1.13,-0.55,3.76,,,,0,3,Top,58.45,38.32,,,608700,,,7.629651452,-135.1439263,-0.7248246352,-17.39161701,32.10499282,-18.52415988,3.99,1.88,429,113.8,31,93.1,2269,6.6,663177,543135,608700,543333,624414,646240,593428,502054,680776,657077,53.89,0.966,2.012,2,1,0,3,6,20,2,4-Seam Fastball,0,1,1,0,2,0,2,0,Standard,Standard,233,-0.104,0.967,166.9066667,0.5410520681,143.0669369,85.96328829,42.6
SI,2022-06-29,90.7,1.39,5.98,"Judge, Aaron",592450,608344,home_run,hit_into_play,,,,,5,Aaron Judge homers (29) on a fly ball to left field.   DJ LeMahieu scores.,R,R,L,NYY,OAK,X,,fly_ball,3,2,2022,1.05,1.12,-0.07,2.84,,,518934,0,1,Bot,24.03,56.96,,,519390,,,-5.921353837,-132.0832872,-4.413728882,13.52422334,25.49268462,-18.33489852,3.9,1.8,429,111.3,26,91.5,2099,6.5,661263,608344,519390,664913,643393,641914,669397,572039,665506,657656,53.97,0.991,2.03,2,1,0,3,6,9,8,Sinker,0,3,0,3,3,2,2,3,Standard,Standard,134,0.151,1.46,163.24,0.4537856055,146.7191401,71.559706,17.2
SL,2022-08-26,78.9,1.36,4.73,"Judge, Aaron",592450,676664,home_run,hit_into_play,,,,,5,Aaron Judge homers (49) on a fly ball to center field.   Oswaldo Cabrera scores.    DJ LeMahieu scores.,R,R,L,OAK,NYY,X,,fly_ball,0,0,2022,-0.52,-0.41,0.02,2.56,,665828,518934,0,5,Top,127.95,26.19,,,669221,,,-1.939294171,-114.6773188,3.021082557,-4.079842846,26.0508632,-36.70329005,3.98,1.86,427,109,31,78,2307,6.3,662342,676664,669221,664913,681146,605353,669397,643393,670276,640461,54.24,0.934,1.95,2,1,0,3,6,36,1,Slider,0,0,0,0,3,0,3,0,Standard,Standard,300,-0.231,1.984,159.8666667,0.5410520681,137.0324791,82.33742024,
